Name,ModuleName
alljoyn_busattachment_unregistersignalhandlerwithrule,MSAJApi.dll
alljoyn_busattachment_whoimplements_interface,MSAJApi.dll
alljoyn_busattachment_whoimplements_interfaces,MSAJApi.dll
alljoyn_buslistener_create,MSAJApi.dll
alljoyn_buslistener_destroy,MSAJApi.dll
alljoyn_busobject_addinterface,MSAJApi.dll
alljoyn_busobject_addinterface_announced,MSAJApi.dll
alljoyn_busobject_addmethodhandler,MSAJApi.dll
alljoyn_busobject_addmethodhandlers,MSAJApi.dll
alljoyn_busobject_cancelsessionlessmessage,MSAJApi.dll
alljoyn_busobject_cancelsessionlessmessage_serial,MSAJApi.dll
alljoyn_busobject_create,MSAJApi.dll
alljoyn_busobject_destroy,MSAJApi.dll
alljoyn_busobject_emitpropertieschanged,MSAJApi.dll
alljoyn_busobject_emitpropertychanged,MSAJApi.dll
alljoyn_busobject_getannouncedinterfacenames,MSAJApi.dll
alljoyn_busobject_getbusattachment,MSAJApi.dll
alljoyn_busobject_getname,MSAJApi.dll
alljoyn_busobject_getpath,MSAJApi.dll
alljoyn_busobject_issecure,MSAJApi.dll
alljoyn_busobject_methodreply_args,MSAJApi.dll
alljoyn_busobject_methodreply_err,MSAJApi.dll
alljoyn_busobject_methodreply_status,MSAJApi.dll
alljoyn_busobject_setannounceflag,MSAJApi.dll
alljoyn_busobject_signal,MSAJApi.dll
alljoyn_credentials_clear,MSAJApi.dll
alljoyn_credentials_create,MSAJApi.dll
alljoyn_credentials_destroy,MSAJApi.dll
alljoyn_credentials_getcertchain,MSAJApi.dll
alljoyn_credentials_getexpiration,MSAJApi.dll
alljoyn_credentials_getlogonentry,MSAJApi.dll
alljoyn_credentials_getpassword,MSAJApi.dll
alljoyn_credentials_getprivateKey,MSAJApi.dll
alljoyn_credentials_getusername,MSAJApi.dll
alljoyn_credentials_isset,MSAJApi.dll
alljoyn_credentials_setcertchain,MSAJApi.dll
alljoyn_credentials_setexpiration,MSAJApi.dll
alljoyn_credentials_setlogonentry,MSAJApi.dll
alljoyn_credentials_setpassword,MSAJApi.dll
alljoyn_credentials_setprivatekey,MSAJApi.dll
alljoyn_credentials_setusername,MSAJApi.dll
alljoyn_getbuildinfo,MSAJApi.dll
alljoyn_getnumericversion,MSAJApi.dll
alljoyn_getversion,MSAJApi.dll
alljoyn_init,MSAJApi.dll
alljoyn_interfacedescription_activate,MSAJApi.dll
alljoyn_interfacedescription_addannotation,MSAJApi.dll
alljoyn_interfacedescription_addargannotation,MSAJApi.dll
alljoyn_interfacedescription_addmember,MSAJApi.dll
alljoyn_interfacedescription_addmemberannotation,MSAJApi.dll
alljoyn_interfacedescription_addmethod,MSAJApi.dll
alljoyn_interfacedescription_addproperty,MSAJApi.dll
alljoyn_interfacedescription_addpropertyannotation,MSAJApi.dll
alljoyn_interfacedescription_addsignal,MSAJApi.dll
alljoyn_interfacedescription_eql,MSAJApi.dll
alljoyn_interfacedescription_getannotation,MSAJApi.dll
alljoyn_interfacedescription_getannotationatindex,MSAJApi.dll
alljoyn_interfacedescription_getannotationscount,MSAJApi.dll
alljoyn_interfacedescription_getargdescriptionforlanguage,MSAJApi.dll
alljoyn_interfacedescription_getdescriptionforlanguage,MSAJApi.dll
alljoyn_interfacedescription_getdescriptionlanguages,MSAJApi.dll
alljoyn_interfacedescription_getdescriptionlanguages2,MSAJApi.dll
alljoyn_interfacedescription_getdescriptiontranslationcallback,MSAJApi.dll
alljoyn_interfacedescription_getmember,MSAJApi.dll
alljoyn_interfacedescription_getmemberannotation,MSAJApi.dll
alljoyn_interfacedescription_getmemberargannotation,MSAJApi.dll
alljoyn_interfacedescription_getmemberdescriptionforlanguage,MSAJApi.dll
alljoyn_interfacedescription_getmembers,MSAJApi.dll
alljoyn_interfacedescription_getmethod,MSAJApi.dll
alljoyn_interfacedescription_getname,MSAJApi.dll
alljoyn_interfacedescription_getproperties,MSAJApi.dll
alljoyn_interfacedescription_getproperty,MSAJApi.dll
alljoyn_interfacedescription_getpropertyannotation,MSAJApi.dll
alljoyn_interfacedescription_getpropertydescriptionforlanguage,MSAJApi.dll
alljoyn_interfacedescription_getsecuritypolicy,MSAJApi.dll
alljoyn_interfacedescription_getsignal,MSAJApi.dll
alljoyn_interfacedescription_hasdescription,MSAJApi.dll
alljoyn_interfacedescription_hasmember,MSAJApi.dll
alljoyn_interfacedescription_hasproperties,MSAJApi.dll
alljoyn_interfacedescription_hasproperty,MSAJApi.dll
alljoyn_interfacedescription_introspect,MSAJApi.dll
alljoyn_interfacedescription_issecure,MSAJApi.dll
alljoyn_interfacedescription_member_eql,MSAJApi.dll
alljoyn_interfacedescription_member_getannotation,MSAJApi.dll
alljoyn_interfacedescription_member_getannotationatindex,MSAJApi.dll
alljoyn_interfacedescription_member_getannotationscount,MSAJApi.dll
alljoyn_interfacedescription_member_getargannotation,MSAJApi.dll
alljoyn_interfacedescription_member_getargannotationatindex,MSAJApi.dll
alljoyn_interfacedescription_member_getargannotationscount,MSAJApi.dll
alljoyn_interfacedescription_property_eql,MSAJApi.dll
alljoyn_interfacedescription_property_getannotation,MSAJApi.dll
alljoyn_interfacedescription_property_getannotationatindex,MSAJApi.dll
alljoyn_interfacedescription_property_getannotationscount,MSAJApi.dll
alljoyn_interfacedescription_setargdescription,MSAJApi.dll
alljoyn_interfacedescription_setargdescriptionforlanguage,MSAJApi.dll
alljoyn_interfacedescription_setdescription,MSAJApi.dll
alljoyn_interfacedescription_setdescriptionforlanguage,MSAJApi.dll
alljoyn_interfacedescription_setdescriptionlanguage,MSAJApi.dll
alljoyn_interfacedescription_setdescriptiontranslationcallback,MSAJApi.dll
alljoyn_interfacedescription_setmemberdescription,MSAJApi.dll
alljoyn_interfacedescription_setmemberdescriptionforlanguage,MSAJApi.dll
alljoyn_interfacedescription_setpropertydescription,MSAJApi.dll
alljoyn_interfacedescription_setpropertydescriptionforlanguage,MSAJApi.dll
alljoyn_keystorelistener_create,MSAJApi.dll
alljoyn_keystorelistener_destroy,MSAJApi.dll
alljoyn_keystorelistener_getkeys,MSAJApi.dll
alljoyn_keystorelistener_putkeys,MSAJApi.dll
alljoyn_keystorelistener_with_synchronization_create,MSAJApi.dll
alljoyn_message_create,MSAJApi.dll
alljoyn_message_description,MSAJApi.dll
alljoyn_message_destroy,MSAJApi.dll
alljoyn_message_eql,MSAJApi.dll
alljoyn_message_getarg,MSAJApi.dll
alljoyn_message_getargs,MSAJApi.dll
alljoyn_message_getauthmechanism,MSAJApi.dll
alljoyn_message_getcallserial,MSAJApi.dll
alljoyn_message_getcompressiontoken,MSAJApi.dll
alljoyn_message_getdestination,MSAJApi.dll
alljoyn_message_geterrorname,MSAJApi.dll
alljoyn_message_getflags,MSAJApi.dll
alljoyn_message_getinterface,MSAJApi.dll
alljoyn_message_getmembername,MSAJApi.dll
